name,rating,review_count,price,latitude,longitude,address,city,state,categories
Ophelia's Pizza + Bar,4.2,167,,36.16323,-86.779,"401 Church St, Ste 100, Nashville, TN 37219",Nashville,TN,"Pizza, Italian, Sandwiches"
Pastaria,4.0,528,$$,36.15170817007948,-86.8198794741703,"8 City Blvd, Nashville, TN 37209",Nashville,TN,"Italian, Pizza"
Tavern,3.9,1339,$$,36.15091,-86.797,"1904 Broadway, Nashville, TN 37203",Nashville,TN,"New American, Cocktail Bars, Sports Bars"
Barrel Proof,4.6,19,,36.17404,-86.78522,"1010 4th Ave N, Nashville, TN 37219",Nashville,TN,"Burgers, Cocktail Bars, Whiskey Bars"
The Nashville Tap House,3.9,76,,36.14618,-86.692946,"600 Marriott Dr, Sonesta Nashville Airport, Nashville, TN 37214",Nashville,TN,"Sports Bars, American, Breakfast & Brunch"
Dukos Pizza Bar,4.9,17,,36.185378,-86.773164,"811 Dickerson Pike, Nashville, TN 37207",Nashville,TN,Pizza
Stateside Kitchen,4.1,466,,36.164198,-86.778987,"210 4th Ave N, Dream Nashville, Nashville, TN 37219",Nashville,TN,"New American, Breakfast & Brunch"
Boqueria Fifth + Broadway,3.9,249,$$,36.16103,-86.7791,"5005 Broadway Pl, Nashville, TN 37203",Nashville,TN,"Spanish, Tapas/Small Plates, Wine Bars"
Velvet Taco,4.2,268,$$,36.150014,-86.79711,"1911 Broadway, Nashville, TN 37203",Nashville,TN,"New American, Tacos, Vegetarian"
Monell's Dining & Catering,4.6,2092,$$,36.17575,-86.79035,"1235 6th Ave N, Nashville, TN 37208",Nashville,TN,"Southern, Soul Food, Breakfast & Brunch"
Graze Nashville,4.6,632,$$,36.18245774829975,-86.7355811,"1888 Eastland Ave, Nashville, TN 37206",Nashville,TN,"Breakfast & Brunch, Vegan, New American"
Il Forno,3.9,207,$$,36.1413,-86.7627,"1414 3rd Ave S, Ste 104, Nashville, TN 37210",Nashville,TN,Italian
Edessa Restaurant Kurdish Turkish Cuisine ,4.7,508,$$,36.087998,-86.730544,"3802 Nolensville Pike, Nashville, TN 37211",Nashville,TN,"Middle Eastern, Kebab, Turkish"
Frothy Monkey,3.8,1374,$$,36.164067,-86.781044,"235 Rep John Lewis Way, Nashville, TN 37219",Nashville,TN,"Coffee & Tea, Breakfast & Brunch, Sandwiches"
Char Restaurant,4.1,285,$$,36.1046443719567,-86.8142720941579,"3988 Hillsboro Pk, Nashville, TN 37215",Nashville,TN,"Steakhouses, Southern, Seafood"
The Goat Sobro,4.2,243,$$,36.153682,-86.770828,"211 Elm St, Nashville, TN 37210",Nashville,TN,"American, Bars, Breakfast & Brunch"
Limo Peruvian Eatery,4.8,86,,36.17413588404823,-86.75056978098046,"1008 Fatherland St, Nashville, TN 37206",Nashville,TN,Peruvian
Ladybird Taco,4.4,257,$$,36.12711,-86.7864,"2229 10th Ave S, Nashville, TN 37204",Nashville,TN,"Coffee & Tea, Breakfast & Brunch, Tacos"
Dumpling House,4.2,138,$$,36.136568,-86.802387,"2117 Belcourt Ave, Nashville, TN 37212",Nashville,TN,Chinese
Henley,4.0,271,$$$,36.1491158781859,-86.798487569997,"2021 Broadway, Nashville, TN 37203",Nashville,TN,"New American, Brasseries, Bars"
M.L.Rose Craft Beer & Burgers,3.9,212,$$,36.163019,-86.7914489,"431 11th Ave N, Nashville, TN 37203",Nashville,TN,"Burgers, Breakfast & Brunch, Beer Bar"
The Yellow Table,4.7,11,,36.18893343732464,-86.7378558,"1101 Chapel Ave, Ste 107, Nashville, TN 37206",Nashville,TN,"Cafes, Salad, Creperies"
The Farmstead,4.1,7,,36.11552,-86.76479,"2806 Columbine Pl, Nashville, TN 37204",Nashville,TN,"Breakfast & Brunch, Ice Cream & Frozen Yogurt, Burgers"
PennePazze,4.5,515,$$,36.15279443702431,-86.8328937,"3826 Charlotte Ave, Nashville, TN 37209",Nashville,TN,Italian
The Treehouse,3.8,570,$$,36.1778755201991,-86.7504990845919,"1011 Clearview Ave, Nashville, TN 37206",Nashville,TN,"New American, Cocktail Bars, Breakfast & Brunch"
Degthai,4.7,23,,36.161892,-86.8023,"614 18th Ave N, Nashville, TN 37203",Nashville,TN,Thai
Hattie B's Hot Chicken,4.0,139,$$,36.1320661,-86.6692935,"1 Terminal Dr, Nashville, TN 37214",Nashville,TN,"Chicken Shop, Chicken Wings, Sandwiches"
Krustaceans Seafood - Nashville,4.5,170,,36.16989855423452,-86.68632384981456,"2260 Lebanon Pike, Nashville, TN 37214",Nashville,TN,Seafood
Red's Hot Chicken,4.7,229,$$,36.146373,-86.81232,"115 27th Ave N, Nashville, TN 37203",Nashville,TN,"Southern, Sandwiches, Chicken Shop"
QC Kitchen,4.7,41,,36.15595,-86.77347,"319 Peabody St, Nashville, TN 37210",Nashville,TN,Soul Food
Halls Chophouse,4.2,261,$$$$,36.154439312767,-86.79354451928023,"1600 West End Ave, St 101, Nashville, TN 37203",Nashville,TN,"Steakhouses, Salad, Seafood"
Good  Times Full Service Bar,4.5,13,,36.13713,-86.76161,"1529 4th Ave S, Nashville, TN 37210",Nashville,TN,"Bars, Sandwiches"
Peninsula,4.3,184,$$,36.183998,-86.749696,"1035 W Eastland Ave, Nashville, TN 37206",Nashville,TN,"Portuguese, Spanish, Tapas/Small Plates"
Denim,4.2,41,,36.156730648256975,-86.77480446320807,"401 Korean Veterans Blvd, Nashville, TN 37201",Nashville,TN,"New American, Cocktail Bars, Sandwiches"
Louisiana Seafood Company,4.5,26,$$,36.1748,-86.77472,"206 N 1st St, Nashville, TN 37213",Nashville,TN,"Cajun/Creole, Seafood, Seafood Markets"
Once Upon A Time In France,4.1,247,,36.18969,-86.74605,"1102 Gallatin Ave, Nashville, TN 37206",Nashville,TN,French
Cledis,4.6,107,$$,36.143766,-86.73645,"1011 Elm Hill Pike, Nashville, TN 37210",Nashville,TN,"Burgers, Beer Bar"
Midnight Oil,4.5,144,,36.161675,-86.849086,"1312 51st Ave N, Nashville, TN 37209",Nashville,TN,"Pizza, Desserts, Salad"
The Smiling Elephant,4.1,748,$$,36.12933,-86.77861,"2213 8th Ave S, Nashville, TN 37204",Nashville,TN,"Thai, Chinese, Seafood"
Egg Drip,4.8,52,,36.17731554122389,-86.75008710000002,"1024 Woodland St, Nashville, TN 37206",Nashville,TN,"Pop-Up Restaurants, Sandwiches, Korean"
Library Restaurant & Lounge,3.7,39,$$,36.1631,-86.7829,"623 Union St, Nashville, TN 37219",Nashville,TN,"Bars, Sandwiches"
