name,rating,review_count,price,latitude,longitude,address,city,state,categories
Redbud Kitchen,4.3,100,$$,35.95828,-83.90629,"906 Sevier Ave, Ste 110, Knoxville, TN 37920",Knoxville,TN,American
Fire Smoke,4.1,31,,35.86433883538985,-84.06418823164032,"9405 S Northshore Dr, Ste 103, Knoxville, TN 37922",Knoxville,TN,"Steakhouses, Southern, Smokehouse"
Hardwood BBQ,4.4,26,,35.8916021,-83.9029797,"2014 W Governor John Sevier Hwy, Knoxville, TN 37920",Knoxville,TN,Barbeque
Parkside Grill,4.0,336,$$,35.914422390763086,-84.09549,"338 N Peters Rd, Knoxville, TN 37922",Knoxville,TN,"American, Beer Bar"
Chesapeake's,4.2,367,$$,35.9121527762989,-84.1060622781515,"9630 Parkside Dr, Knoxville, TN 37922",Knoxville,TN,"Seafood, Bars"
Pastelito's Cuban Bakery,4.5,49,,35.9230751,-84.0929189,"402 N Cedar Bluff Rd, Ste 8, Knoxville, TN 37923",Knoxville,TN,"Bakeries, Cuban, Sandwiches"
Fin-Two Japanese Ale House,4.1,181,$$,35.969821,-83.917925,"122 S Central Ave, Knoxville, TN 37902",Knoxville,TN,"Japanese, Sushi Bars, Beer Bar"
Chismoso Cocktails & Comida,4.4,17,,35.96817,-83.920429,"131 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Cocktail Bars, American, Mexican"
Captain Crab,3.4,19,$$,36.026721657695695,-83.92694917409506,"4834 N Broadway, Knoxville, TN 37918",Knoxville,TN,Seafood
The Plaid Apron,4.0,216,$$,35.9339613115154,-83.963286900846,"1210 Kenesaw Ave, Knoxville, TN 37919",Knoxville,TN,"Breakfast & Brunch, American, Bars"
Delicias Colombianas,4.8,32,,36.00188,-83.97587,"5003 Clinton Hwy, Knoxville, TN 37912",Knoxville,TN,Colombian
Cafe 4,4.1,865,$$,35.9649977,-83.91918945024128,"4 Market Square, Knoxville, TN 37902",Knoxville,TN,"Comfort Food, Breakfast & Brunch, Cocktail Bars"
KoPita Authentic Mediterranean,4.3,176,,35.96481337245792,-83.91818783429554,"507 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Vegan, Mediterranean, Kebab"
Tussie Mussie,4.1,9,,35.96039,-83.92573,"1109 White Ave, Knoxville, TN 37916",Knoxville,TN,"Bars, Southern"
Abridged Beer,3.9,77,$$,35.915328127681924,-84.09262037348621,"320 N Peters Rd, Ste 103, Knoxville, TN 37922",Knoxville,TN,"Burgers, Brewpubs, Sandwiches"
Pete's Restaurant & Coffee Shop,4.3,257,$,35.9639518,-83.9207567,"540 Union Ave, Knoxville, TN 37902",Knoxville,TN,"Breakfast & Brunch, Sandwiches, Diners"
Chivo Taqueria,4.2,453,$$,35.9667821946351,-83.9189968689844,"314 South Gay St, Knoxville, TN 37902",Knoxville,TN,"Cocktail Bars, Mexican, Tex-Mex"
The Drawing Room,4.6,16,,35.96238,-83.92304,"531 Henley St, Knoxville, TN 37902",Knoxville,TN,"Bars, Breakfast & Brunch, American"
Hot Birds,4.0,7,,35.970711557199174,-83.92096436359263,"333 W Depot Ave, Knoxville, TN 37917",Knoxville,TN,"Pop-Up Restaurants, Chicken Wings, Sandwiches"
